Nama Produk,Kategori,Harga,Jumlah Terjual,Total Penjualan,Rating Produk,Nama Toko / Seller,Lokasi Toko,Jumlah Ulasan,Diskon (%),Harga Asli (sebelum diskon),Status Stok,"Badge Seller (Official Store, Star Seller, dll)",link produk,Sumber Platform,Kata Kunci,Halaman
Xiaomi 12 Lite 5G 8/256GB Resmi Indonesia,100013 (ID),2650000,22,58300000,5,Sahabat_Gadget_,Jakarta Timur,12,0,2650000,Tersedia,Mall,https://shopee.co.id/product/778806255/25908617600,Shopee,handphone,1
OPPO Reno 12F 12/512GB ( +12GB Extended Ram ) Garansi Resmi Oppo,100013 (ID),3799000,2000,7598000000,4.9,5 ALPHA TECH Official Store,Bekasi,93,0,3799000,Tersedia,Toko Biasa,https://shopee.co.id/product/282207658/26855672444,Shopee,handphone,1
iPhone13pro 128GB BH95+ WIFI ONLY  NO SIM IOS17 FULLSET MULUS SECOND GOOD CONDITIONS,100013 (ID),3880000,27,104760000,4.8,RAJA SELULER,Jakarta Utara,3,0,4980000,Tersedia,Mall,https://shopee.co.id/product/1624376408/53209698671,Shopee,handphone,1
realme C85 Series 8/256GB Garansi Resmi Indonesia HP Android Official Store Murah Handphone,100013 (ID),2799000,472,1321128000,4.9,Aurora Mall Official Store,Jakarta Utara,145,0,3999000,Tersedia,Toko Biasa,https://shopee.co.id/product/131698265/15265576752,Shopee,handphone,1
VSPHONE CLOUD PHONE GAMING AFK 24/7,100642 (ID),7849,0,0,0,OnlineShop24H,Kab. Bandung,0,0,7849,Tersedia,Toko Biasa,https://shopee.co.id/product/338746840/46002579785,Shopee,handphone,1
"[ONLINE EXCLUSIVE] vivo V50 5G (8/256) Rounded-edge Design, ZEISS Group Potrait, 6000mAh Battery+90W Flashcharge, IP68+IP69, vivo AI  Color: Harmony Red, Solid Black",100013 (ID),5499000,2000,10998000000,4.9,vivo Official Store,Kab. Tangerang,1166,0,6499000,Tersedia,Toko Biasa,https://shopee.co.id/product/30843261/27977577260,Shopee,handphone,1
HP VIVO Y17 RAM 8 ROM 256GB Smartphone 4G LET 6.35 Inches Dual SIM Garansi 2 Tahun,100013 (ID),915000,4000,3660000000,4.7,king77.toko,Jakarta Utara,1642,0,2000000,Tersedia,Toko Biasa,https://shopee.co.id/product/767530387/22568716638,Shopee,handphone,1
"[NEW LAUNCH] vivo V70 5G (12/256) 10x Telephoto Zoom, AI Stage Mode, 4K 60 fps Video Recording, AI Travel Portrait, OriginOS 6.0",100013 (ID),8999000,263,2366737000,5,vivo Official Store,Kab. Tangerang,161,0,8999000,Tersedia,Toko Biasa,https://shopee.co.id/product/30843261/48956052568,Shopee,handphone,1
"[Online Exclusive] vivo Y19s GT 5G - Dimensity 6300 5G, 5500mAh Tahan Lama, NFC Multifunctions, Tahan Banting & Hujan, 50MP Kamera Utama, AI Erase",100013 (ID),2799000,7000,19593000000,5,vivo Official Store,Kab. Tangerang,3906,0,2799000,Tersedia,Toko Biasa,https://shopee.co.id/product/30843261/41155565058,Shopee,handphone,1
HP VIVO Y93 RAM 8/256GB Smartphone Fullset Garansi 1 Tahun,100013 (ID),599000,977,585223000,4.5,Luxtronik,Jakarta Barat,306,0,800000,Tersedia,Mall,https://shopee.co.id/product/1698279647/51154710289,Shopee,handphone,1
"[NEW LAUNCH] vivo V70 5G (12/512) 10x Telephoto Zoom, AI Stage Mode, 4K 60 fps Video Recording, AI Travel Portrait, OriginOS 6.0",100013 (ID),10999000,25,274975000,5,vivo Official Store,Kab. Tangerang,19,0,10999000,Tersedia,Toko Biasa,https://shopee.co.id/product/30843261/40479321207,Shopee,handphone,1
HP  105 2019  Dual Sim 2019 Bergaransi Toko,100013 (ID),115000,10000,1150000000,4.8,188.toko,Jakarta Utara,3631,0,220000,Tersedia,Mall,https://shopee.co.id/product/154542224/29451744943,Shopee,handphone,1
"Xiaomi 17 Ultra Smartphone Kamera Pro, Pilihan Warna Putih Hitam Starlit Green, Garansi Resmi",100013 (ID),13200000,6,79200000,5,TANI INDONESIA 11,Kab. Banjarnegara,5,0,13200000,Tersedia,Mall,https://shopee.co.id/product/1651525217/50059828061,Shopee,handphone,1
Tecno Megapad 11 SE [4GB+128GB] - Garansi Resmi 1 Tahun,100013 (ID),2499000,2,4998000,5,Space Mobile Official Store,Jakarta Utara,1,0,2499000,Tersedia,Toko Biasa,https://shopee.co.id/product/1053062682/55956074391,Shopee,handphone,1
Infinix Smart 20 4GB/64GB I 4GB/128GB Garansi Resmi Infinix Indonesia,100013 (ID),1749000,1000,1749000000,4.9,Gamer Plus Official Store,Jakarta Pusat,409,0,2399000,Tersedia,Toko Biasa,https://shopee.co.id/product/957650698/47456490886,Shopee,handphone,1
VIVO V60 Lite 4G [8+8/128] [8+8/256],100013 (ID),4250000,19,80750000,5,gonsify11,Bandung,11,0,4250000,Tersedia,Toko Biasa,https://shopee.co.id/product/1661237630/47756937113,Shopee,handphone,1
Handphone vivo V9.asli Ori Smartphone RAM 4GB+64GB LCD 6.3'FULLSET,100013 (ID),799000,7,5593000,0,FIRStore1,Kab. Tangerang,0,0,1000000,Tersedia,Mall,https://shopee.co.id/product/1744853017/45606689223,Shopee,handphone,1
"[ONLINE EXCLUSIVE] vivo V70FE 5G (8/512) 200MP OIS Main Camera, AI Travel Portrait, 7000mAH + 90W FlashCharge, IP68+IP69 Water Resistance, OriginOS 6.0",100013 (ID),7399000,81,599319000,4.8,vivo Official Store,Kab. Tangerang,44,0,7399000,Tersedia,Toko Biasa,https://shopee.co.id/product/30843261/40678684709,Shopee,handphone,1
OPPO A6X 6/128,100013 (ID),3000000,14,42000000,0,suhendro Olshop88,Medan,0,0,3000000,Tersedia,Toko Biasa,https://shopee.co.id/product/1761074047/53409915723,Shopee,handphone,1
[BNIB] realme Note 80 4GB+8GB|64GB / 4GB+12GB|128GB Garansi Resmi 18 Bulan FREE BONUS (Desain Tangguh | 6300mAh Baterai | Proteksi ArmorShell™ | Jaminan Lancar Hingga 48-bulan | IP54 Layar Luas | HP tahan banting | Anti Lemot),100013 (ID),1659999,172,285519828,5,Optima Gadget Store,Surabaya,48,0,2999000,Tersedia,Toko Biasa,https://shopee.co.id/product/1628164033/52456687261,Shopee,handphone,1
realme P3 Lite | 4GB+8GB 128GB | NFC | 120Hz | 6300mAh Smartphone | Garansi Resmi,100013 (ID),1990000,960,1910400000,5,Holyfon Official Store,Surabaya,233,0,2999000,Tersedia,Mall,https://shopee.co.id/product/1627441539/57602728017,Shopee,handphone,1
"vivo V50 Lite 4G (8/256) Borderless Immersive Screen, Sony IMX882, 6500mAh Battery+90W Flashcharge, AI Erase 2.0, All-round Impact Resistance",100013 (ID),3699000,2000,7398000000,4.9,vivo Official Store,Kab. Tangerang,1427,0,3999000,Tersedia,Toko Biasa,https://shopee.co.id/product/30843261/29180415037,Shopee,handphone,1
IP 11 64GB/128GB/256GB Second Like New Original Bergaransi,100013 (ID),3825000,762,2914650000,4.8,Ibgadgetstore,Semarang,222,0,3850000,Tersedia,Mall,https://shopee.co.id/product/402809779/29731680301,Shopee,handphone,1
[NEW LAUNCH] realme 16 5G 8/256GB 12/256GB (50MP Sony Rear AI Cameras | 7000mAh | 60W FastCharge),100013 (ID),5499000,4,21996000,5,ThreetoOne Official Store,Jakarta Utara,1,0,6299000,Tersedia,Toko Biasa,https://shopee.co.id/product/119894868/44328886840,Shopee,handphone,1
"vivo V60 Lite 5G Dimensity 7360-Turbo, 6500 mAh + 90W FlashCharge, 50MP Sony Camera, AI Four-Seasons, SGS 5-Star Drop Resistance",100013 (ID),5999000,1000,5999000000,4.9,vivo Official Store,Surabaya,607,0,5999000,Tersedia,Toko Biasa,https://shopee.co.id/product/30843261/43169918603,Shopee,handphone,1
HP VIVO Y17 8/256GB Smartphone Garansi 1 Tahun,100013 (ID),895000,28,25060000,5,PANDA PHONE88,Jakarta Barat,11,0,1899000,Tersedia,Toko Biasa,https://shopee.co.id/product/1739183504/54358284570,Shopee,handphone,1
"[NEW LAUNCH] vivo V70FE 5G 200MP OIS Main Camera, AI Travel Portrait, 7000mAH + 90W FlashCharge, IP68+IP69 Water Resistance, OriginOS 6.0",100013 (ID),6499000,146,948854000,4.9,vivo Official Store,Kab. Tangerang,75,0,6499000,Tersedia,Toko Biasa,https://shopee.co.id/product/30843261/44506057576,Shopee,handphone,1
"TECNO SPARK Go 3 4GB+4GB*/64GB, IP64, 6.75"" HD+, 120Hz Smooth Display, 5000mAh, 15W* Charging",100013 (ID),1509000,2000,3018000000,5,Protech Computer,Jakarta Pusat,986,0,2689000,Tersedia,Toko Biasa,https://shopee.co.id/product/27662413/52206175804,Shopee,handphone,1
"Vivo V40 Lite 5G 8GB 256GB - 80W FlashCharge, 5500mAh, AMOLED 120Hz, IP64, AI Camera",100013 (ID),4598000,36,165528000,5,it_tech,Jakarta Barat,12,0,4598000,Tersedia,Toko Biasa,https://shopee.co.id/product/1623750291/40018946760,Shopee,handphone,1
HP VIVO Y73S RAM 8/256 GB KAMERA 48MP LAYAR 6.44 INCI ORIGINAL GARANSI 1 TAHUN,100013 (ID),1095500,0,0,0,STORE_S.7,Kab. Tangerang,0,0,1400000,Tersedia,Toko Biasa,https://shopee.co.id/product/1731438411/45606876103,Shopee,handphone,1
itel City200 NFC RAM 128+8GB(4+4GB) - Big Battery 5200mAh - 6.78'' 120Hz IP65 High Brightness Display,100013 (ID),1699000,4000,6796000000,4.9,Itel Official Store,Jakarta Barat,2140,0,2499000,Tersedia,Toko Biasa,https://shopee.co.id/product/1586001868/47055421260,Shopee,handphone,1
Ip 11 64gb/128gb/256gb Secondhand Like New Original Bergaransi,100013 (ID),4315000,1000,4315000000,4.7,Ibgadgetstore,Semarang,504,0,4350000,Tersedia,Mall,https://shopee.co.id/product/402809779/8065476615,Shopee,handphone,1
Handphone A31 RAM 8/256GB 4G LTE Dual SIM Baterai 4230mAh Baru Fullset Garansi Toko 1 Tahun,100013 (ID),895000,24,21480000,4.4,Legend Phone,Jakarta Utara,8,0,1738000,Tersedia,Mall,https://shopee.co.id/product/1674186220/58107955857,Shopee,handphone,1
[COD] VIVO Y70s RAM12/256GB 50MP CAMERA LAYAR 6.51 INCH BATERRY4500 mAh,100013 (ID),1198000,12,14376000,5,DIGITEL CELLULAR,Jakarta Utara,5,0,2259000,Tersedia,Mall,https://shopee.co.id/product/1619400406/55605295242,Shopee,handphone,1
"TECNO SPARK 30C - RAM 8GB/256GB, Kamera 48MP, Baterai 5000mAh",100013 (ID),1350000,96,129600000,3.8,PX-PHONE,Jakarta Barat,27,0,2100000,Tersedia,Toko Biasa,https://shopee.co.id/product/1766445184/53558378953,Shopee,handphone,1
HP VIVO Y17S RAM 8/256 GB KAMERA 50 MP LAYAR 6.56 INCI ORIGINAL GARANSI 1 TAHUN,100013 (ID),1000000,1,1000000,0,STORE_S.7,Kab. Tangerang,0,0,1200000,Tersedia,Toko Biasa,https://shopee.co.id/product/1731438411/49806872576,Shopee,handphone,1
"Vivo Y-Series RAM Besar: 8/256GB (Y33s/Y17) & 6/128GB (Y67) – Sidik Jari, Fullset Original.",100013 (ID),300000,0,0,0,Electra Vibe,Kab. Garut,0,0,300000,Tersedia,Toko Biasa,https://shopee.co.id/product/1287551810/41175825641,Shopee,handphone,1
OPPO A6x 6+256/6+128/4+64 6500mAh+15W IP64 Water & Dust Resistance OPPO Terbaru 2025 Garansi Resmi,100013 (ID),2299000,80,183920000,4.9,Real Mobile.id Official Store,Jakarta Utara,33,0,2599000,Tersedia,Toko Biasa,https://shopee.co.id/product/289735549/57602397682,Shopee,handphone,1
Tecno Spark GO 1 4/64 & 4/128 | 120Hz Refresh Rate IP54 Fast Charge 15W Garansi Resmi,100013 (ID),1115000,0,0,0,Metro Galaxy,Bandar Lampung,0,0,1115000,Tersedia,Toko Biasa,https://shopee.co.id/product/11385323/26669828042,Shopee,handphone,1
2026New hp 2026NEW Soyes XS17 17Pro Max Mini Android 12 8GB+256GB Mini Smartphone 6.79Inch Mini,100013 (ID),1190000,40,47600000,4.1,iedsn5gdpl,Jakarta Barat,11,0,2000000,Tersedia,Toko Biasa,https://shopee.co.id/product/1696838035/44857292075,Shopee,handphone,1
Itel City 200 4/128 Garansi Resmi,100013 (ID),1685000,11,18535000,5,Today is Tomorow Store,Kab. Kendal,4,0,1685000,Tersedia,Toko Biasa,https://shopee.co.id/product/1176125391/41230307202,Shopee,handphone,2
Apple iPhone 12 Pro 128GB/256GB - Garansi 24 bulan,100013 (ID),5772800,51,294412800,5,Infinity Gadget ID,Jakarta Barat,17,0,13000000,Tersedia,Mall,https://shopee.co.id/product/1731549773/53058165740,Shopee,handphone,2
Infinix Smart 20 4/64GB - Up to 8GB Extended RAM - Mediatek Helio G81 - 6.78” - 8MP - 5200 mAh - IP64,100013 (ID),1709000,10000,17090000000,5,Infinix Official Shop,Jakarta Utara,5213,0,1799000,Tersedia,Toko Biasa,https://shopee.co.id/product/342033216/46906666616,Shopee,handphone,2
Xiaomi Redmi A3 Ram 4GB Memory 128GB 4/128GB Garansi Resmi Xiaomi Indonesia - New Original Segel,100013 (ID),1149000,0,0,0,New Collection Shop,Bekasi,0,0,1149000,Tersedia,Toko Biasa,https://shopee.co.id/product/189337673/24714782340,Shopee,handphone,2
XIAOMI POCO M7 RAM 8/256 GB GARANSI RESMI TERMURAH,100013 (ID),2925000,93,272025000,5,Terafone,Kab. Sleman,48,0,2925000,Tersedia,Mall,https://shopee.co.id/product/147741086/19075492275,Shopee,handphone,2
HP VIVO Y17 RAM 8/256GB Baterai 5000mAh Second Mulus Fullset Garansi Toko 1 Tahun,100013 (ID),905000,48,43440000,5,Legend Phone,Jakarta Utara,25,0,1610000,Tersedia,Mall,https://shopee.co.id/product/1674186220/57107050240,Shopee,handphone,2
"POCO C75 layar HD+ 6,88 inci | Prosesor Helio G88 | Baterai 5000mAh | Kecepatan refresh 90Hz | Kamera AI 50MP | Flash cepat",100013 (ID),1749999,136,237999864,4,INDOSMART GADGET.,Jakarta Barat,25,0,3499999,Tersedia,Toko Biasa,https://shopee.co.id/product/1597946598/56450324783,Shopee,handphone,2
VIVO X300 ULTRA 5G RAM 16+16 ROM 512 GARANSI RESMI INDONESIA FRESH BNIB BUKAN REPACK,100013 (ID),24750000,0,0,0,Evano Cell.,Kab. Sleman,0,0,24750000,Tersedia,Toko Biasa,https://shopee.co.id/product/1361967562/48509919005,Shopee,handphone,2
HP Smartphone A3S ram 6/128GB 4G LTE GARANSI TOKO 1 TAHUN,100013 (ID),725000,6000,4350000000,4.8,1688.shopp,Jakarta Utara,2585,0,1400000,Tersedia,Toko Biasa,https://shopee.co.id/product/143273445/55150000162,Shopee,handphone,2
realme C85 5G/4G 8/256GB ( 7000mAh Titan Battery | 45W Fast Charge | Tahan Banting Kelas Militer ),100013 (ID),2899000,43,124657000,4.9,ThreetoOne Official Store,Jakarta Utara,22,0,3099000,Tersedia,Toko Biasa,https://shopee.co.id/product/119894868/46154603327,Shopee,handphone,2
2025 NEW HP Mini 16 Pro 5G/4G Android 4GB 64GB Baru Layar HD+ Dual Sim Hitam Emas,100013 (ID),750000,39,29250000,4.6,eu9myc_a5h,Jakarta Barat,18,0,750000,Tersedia,Toko Biasa,https://shopee.co.id/product/1696877022/47858023484,Shopee,handphone,2
iphone 17pro max 1:1 HDC phone 8/512GB bisa wifi behasa indo,100013 (ID),1751232,433,758283456,4.5,K5mark,Jakarta Utara,127,0,6671232,Tersedia,Toko Biasa,https://shopee.co.id/product/900839290/47305183249,Shopee,handphone,2
Hp Vivo Y17 RAM 8/256GB Fullset Garansi 1 Tahun,100013 (ID),566686,0,0,0,a hua,Jakarta Utara,0,0,566686,Tersedia,Toko Biasa,https://shopee.co.id/product/1576667135/40407314771,Shopee,handphone,2
realme Note 70 & 80 | 4GB+8GB | 128GB | 6300mAh | Octa Core Smartphone | Garansi Resmi,100013 (ID),1720000,400,688000000,5,Holyfon Official Store,Surabaya,108,0,2999000,Tersedia,Mall,https://shopee.co.id/product/1627441539/53354181783,Shopee,handphone,2
INFINIX HOT 50 PRO+ PLUS NFC RAM 8GB MEMORY 256GB 8/256GB GARANSI RESMI INFINIX 15 BULAN,100013 (ID),1799000,0,0,0,New Collection Shop,Bekasi,0,0,1799000,Tersedia,Toko Biasa,https://shopee.co.id/product/189337673/28915674255,Shopee,handphone,2
Hp Infinix Smart 10 Ram 3+3/64 GB Resmi/Original Fullset,100013 (ID),1399999,3,4199997,5,dsponsel44d,Pekanbaru,2,0,1499999,Tersedia,Mall,https://shopee.co.id/product/130688180/57806777784,Shopee,handphone,2
HP VIVO Y70s 5G RAM 12GB+256GB LAYAR 6.53INCH 4K BATERY 4500mAh TRIPLE REAR CAMERA,100013 (ID),1198000,183,219234000,4.5,INDO GADGETIN,Jakarta Utara,77,0,4390000,Tersedia,Toko Biasa,https://shopee.co.id/product/1619373205/25997117083,Shopee,handphone,2
Xiaomi 14 5G/12/256GB garansi,100013 (ID),2500000,1,2500000,5,rifhidayat39,Kab. Purbalingga,1,0,2500000,Tersedia,Toko Biasa,https://shopee.co.id/product/135768791/26458282301,Shopee,handphone,2
Xiaomi Redmi A7 Pro 4GB/64GB I 4GB/128GB Garansi Resmi Xiaomi Indonesia,100013 (ID),1649000,134,220966000,5,Agres Premium Official,Jakarta Pusat,45,0,2100000,Tersedia,Toko Biasa,https://shopee.co.id/product/1119892890/54806838566,Shopee,handphone,2
2026 NEW HP 17Pro Max Android 14 12GB+512GB Mini Smartphone 6.9Inch Mini,100013 (ID),1500000,16,24000000,4.3,HPmini5G,Tangerang,5,0,5900000,Tersedia,Mall,https://shopee.co.id/product/1702683429/45255994607,Shopee,handphone,2
XIAOMI REDMI 14C 8GB 128GB (INCLUDE CHARGER) GARANSI RESMI,100013 (ID),1369000,0,0,0,Raja Komputer,Kab. Tangerang,0,0,1369000,Tersedia,Toko Biasa,https://shopee.co.id/product/1471354300/27083226067,Shopee,handphone,2
"Infinix Note Edge 5G RAM 8/256, battery 6500 mAh, Mediatek Dimensity 7100 - Garansi Resmi",100013 (ID),3329000,54,179766000,4.9,X-Mall Indonesia,Jakarta Utara,26,0,3799000,Tersedia,Mall,https://shopee.co.id/product/1531741891/51554628242,Shopee,handphone,2
devilmimi realme P3 LITE Ultra Slim Design 7.79mm RAM 4GB+8GB/128GB HP NFC Baterai awet 6300mAh ORI,100013 (ID),1899000,714,1355886000,4.9,Devilmimi Official Store,Surabaya,281,0,3899000,Tersedia,Toko Biasa,https://shopee.co.id/product/1698327646/50554579296,Shopee,handphone,2
Vivo Y29 (8/256GB) Snapdragon 685 — Garansi Resmi Vivo Indonesia,100013 (ID),2349000,31,72819000,4.8,DigitalOneID,Jakarta Barat,24,0,5899000,Tersedia,Toko Biasa,https://shopee.co.id/product/1730027469/57205923905,Shopee,handphone,2
Evercoss M6A 4/32 Ram 4GB Internal 32GB HP Android Murah Garansi Resmi,100013 (ID),545000,1000,545000000,4.8,DK-Cell,Jakarta Pusat,696,0,545000,Tersedia,Toko Biasa,https://shopee.co.id/product/6729887/5963795635,Shopee,handphone,2
"realme C85 Pro (8/128)(8/256) 7000mAh Titan Battery, Military Grade Shock Resistance, Garansi Resmi",100013 (ID),2799000,129,361071000,4.9,Kate Mall Official Store,Jakarta Utara,63,0,3499000,Tersedia,Toko Biasa,https://shopee.co.id/product/181002629/26841353068,Shopee,handphone,2
realme Note 70 & Note 80 4GB+64GB*4GB/128GB Ultra Tipis 7.94 mm | Pulse light | 6300 mAh,100013 (ID),1730000,442,764660000,4.9,realme authorized surabaya,Surabaya,167,0,2999000,Tersedia,Mall,https://shopee.co.id/product/1366391145/44415257466,Shopee,handphone,2
realme C100x 6/256GB (6+12GB Extended RAM) Garansi Resmi Indonesia Hp Android Murah Terbaru 2026 Ori,100013 (ID),3399000,252,856548000,4.9,Aurora Mall Official Store,Jakarta Utara,117,0,4699000,Tersedia,Toko Biasa,https://shopee.co.id/product/131698265/40604653540,Shopee,handphone,2
Hp Smartphone A31 RAM 8/256GB 4G NEW LTE Dual Sim,100013 (ID),925000,2000,1850000000,4.7,1688.shopp,Jakarta Utara,822,0,1699999,Tersedia,Toko Biasa,https://shopee.co.id/product/143273445/45800010691,Shopee,handphone,2
HP VIVO Y19 8/256GB Smartphone Fullset Garansi 1 Tahun,100013 (ID),995000,3,2985000,5,PANDA PHONE88,Jakarta Barat,2,0,2000000,Tersedia,Toko Biasa,https://shopee.co.id/product/1739183504/26494555793,Shopee,handphone,2
[BNIB] realme C71 NFC 4GB+128GB | Baterai 6300 mAh | Fast Charge | 120Hz Eye Comfort Display | 400% Ultra Volume,100013 (ID),1929999,67,129309933,5,Optima Gadget Store,Surabaya,25,0,3999000,Tersedia,Toko Biasa,https://shopee.co.id/product/1628164033/42823818360,Shopee,handphone,2
"VIVO Y17 RAM 8GB ROM 256GB 5000mAh 6.35"" Dual SIM Ponsel Pintar Original Fullset Garansi 24 Bulan",100013 (ID),905000,406,367430000,4.8,Smart Hub Store,Jakarta Utara,170,0,2000000,Tersedia,Toko Biasa,https://shopee.co.id/product/1105564980/48604801380,Shopee,handphone,2
Realme Note 60x [4GB+64GB] [4GB+128GB] - Garansi Resmi 1 Tahun,100013 (ID),1199000,0,0,0,superman phone,Kab. Brebes,0,0,1199000,Tersedia,Toko Biasa,https://shopee.co.id/product/585944121/29125891821,Shopee,handphone,2
ZTE NUBIA V80 MAX RAM 6/128GB dan 8/128GB,100013 (ID),1759000,213,374667000,5,Yogi Ponsel,Medan,110,0,1759000,Tersedia,Mall,https://shopee.co.id/product/1098981339/26480563184,Shopee,handphone,2
